E4B880 一
E4B881 丁
E4B883 七
E4B887 万
E4B888 丈
E4B889 三
E4B88A 上
E4B88B 下
E4B88D 不
E4B88E 与
E4B890 丐
E4B891 丑
E4B893 专
E4B894 且
E4B896 世
E4B898 丘
E4B899 丙
E4B89A 业
E4B89B 丛
E4B89C 东
E4B89D 丝
E4B8A2 丢
E4B8A4 两
E4B8A5 严
E4B8A7 丧
E4B8AA 个
E4B8AB 丫
E4B8AD 中
E4B8B0 丰
E4B8B2 串
E4B8B4 临
E4B8B8 丸
E4B8B9 丹
E4B8BA 为
E4B8BB 主
E4B8BD 丽
E4B8BE 举
E4B983 乃
E4B985 久
E4B988 么
E4B989 义
E4B98B 之
E4B98C 乌
E4B98D 乍
E4B98E 乎
E4B98F 乏
E4B990 乐
E4B992 乒
E4B993 乓
E4B994 乔
E4B996 乖
E4B998 乘
E4B999 乙
E4B99D 九
E4B99E 乞
E4B99F 也
E4B9A0 习
E4B9A1 乡
E4B9A6 书
E4B9B0 买
E4B9B1 乱
E4B9B3 乳
E4B9BE 乾
E4BA86 了
E4BA88 予
E4BA89 争
E4BA8B 事
E4BA8C 二
E4BA8E 于
E4BA8F 亏
E4BA91 云
E4BA92 互
E4BA94 五
E4BA95 井
E4BA9A 亚
E4BA9B 些
E4BAA1 亡
E4BAA2 亢
E4BAA4 交
E4BAA5 亥
E4BAA6 亦
E4BAA7 产
E4BAA8 亨
E4BAA9 亩
E4BAAB 享
E4BAAC 京
E4BAAD 亭
E4BAAE 亮
E4BAB2 亲
E4BABA 人
E4BABF 亿
E4BB80 什
E4BB81 仁
E4BB85 仅
E4BB86 仆
E4BB87 仇
E4BB8A 今
E4BB8B 介
E4BB8D 仍
E4BB8E 从
E4BB91 仑
E4BB93 仓
E4BB94 仔
E4BB95 仕
E4BB96 他
E4BB97 仗
E4BB98 付
E4BB99 仙
E4BB9F 仟
E4BBA3 代
E4BBA4 令
E4BBA5 以
E4BBAA 仪
E4BBAC 们
E4BBB0 仰
E4BBB2 仲
E4BBB6 件
E4BBB7 价
E4BBBB 任
E4BBBD 份
E4BBBF 仿
E4BC81 企
E4BC8A 伊
E4BC8D 伍
E4BC8E 伎
E4BC8F 伏
E4BC90 伐
E4BC91 休
E4BC97 众
E4BC98 优
E4BC99 伙
E4BC9A 会
E4BC9E 伞
E4BC9F 伟
E4BCA0 传
E4BCA4 伤
E4BCA6 伦
E4BCAA 伪
E4BCAF 伯
E4BCB0 估
E4BCB4 伴
E4BCB6 伶
E4BCB8 伸
E4BCBA 伺
E4BCBC 似
E4BD83 佃
E4BD86 但
E4BD8D 位
E4BD8E 低
E4BD8F 住
E4BD91 佑
E4BD93 体
E4BD95 何
E4BD99 余
E4BD9B 佛
E4BD9C 作
E4BDA0 你
E4BDA3 佣
E4BDA9 佩
E4BDAC 佬
E4BDAF 佯
E4BDB0 佰
E4BDB3 佳
E4BDBF 使
E4BE84 侄
E4BE88 侈
E4BE8B 例
E4BE8D 侍
E4BE97 侗
E4BE9B 供
E4BE9D 依
E4BEA0 侠
E4BEA3 侣
E4BEA5 侥
E4BEA6 侦
E4BEA7 侧
E4BEA8 侨
E4BEA9 侩
E4BEAE 侮
E4BEAF 侯
E4BEB5 侵
E4BEBF 便
E4BF83 促
E4BF84 俄
E4BF8A 俊
E4BF8F 俏
E4BF90 俐
E4BF97 俗
E4BF98 俘
E4BF9D 保
E4BF9E 俞
E4BFA1 信
E4BFA9 俩
E4BFAD 俭
E4BFAE 修
E4BFAF 俯
E4BFB1 俱
E4BFBA 俺
E5808D 倍
E58092 倒
E58094 倔
E58098 倘
E58099 候
E5809A 倚
E5809F 借
E580A1 倡
E580A6 倦
E580AA 倪
E580BA 债
E580BC 值
E580BE 倾
E58187 假
E5818E 偎
E5818F 偏
E5819A 做
E5819C 停
E581A5 健
E581B6 偶
E581B7 偷
E581BF 偿
E58280 傀
E58285 傅
E58288 傈
E5828D 傍
E582A3 傣
E582A8 储
E582AC 催
E582B2 傲
E582BB 傻
E5838F 像
E5839A 僚
E583A7 僧
E583B3 僳
E583B5 僵
E583BB 僻
E58492 儒
E584A1 儡
E584BF 儿
E58581 允
E58583 元
E58584 兄
E58585 充
E58586 兆
E58588 先
E58589 光
E5858B 克
E5858D 免
E58591 兑
E58594 兔
E5859A 党
E5859C 兜
E585A2 兢
E585A5 入
E585A8 全
E585AB 八
E585AC 公
E585AD 六
E585B0 兰
E585B1 共
E585B3 关
E585B4 兴
E585B5 兵
E585B6 其
E585B7 具
E585B8 典
E585B9 兹
E585BB 养
E585BC 兼
E585BD 兽
E58680 冀
E58685 内
E58688 冈
E58689 冉
E5868C 册
E5868D 再
E58692 冒
E58695 冕
E58697 冗
E58699 写
E5869B 军
E5869C 农
E586A0 冠
E586A4 冤
E586AC 冬
E586AF 冯
E586B0 冰
E586B2 冲
E586B3 决
E586B5 况
E586B6 冶
E586B7 冷
E586BB 冻
E58780 净
E58784 凄
E58786 准
E58789 凉
E5878B 凋
E5878C 凌
E5878F 减
E58791 凑
E5879B 凛
E5879D 凝
E587A0 几
E587A1 凡
E587A4 凤
E587AB 凫
E587AD 凭
E587AF 凯
E587B0 凰
E587B3 凳
E587B6 凶
E587B8 凸
E587B9 凹
E587BA 出
E587BB 击
E587BD 函
E587BF 凿
E58880 刀
E58881 刁
E58883 刃
E58886 分
E58887 切
E5888A 刊
E58891 刑
E58892 划
E58897 列
E58898 刘
E58899 则
E5889A 刚
E5889B 创
E5889D 初
E588A0 删
E588A4 判
E588A8 刨
E588A9 利
E588AB 别
E588AE 刮
E588B0 到
E588B6 制
E588B7 刷
E588B8 券
E588B9 刹
E588BA 刺
E588BB 刻
E588BD 刽
E58981 剁
E58982 剂
E58983 剃
E5898A 削
E5898D 前
E58990 剐
E58991 剑
E58994 剔
E58996 剖
E589A5 剥
E589A7 剧
E589A9 剩
E589AA 剪
E589AF 副
E589B2 割
E589BF 剿
E58A88 劈
E58A9B 力
E58A9D 劝
E58A9E 办
E58A9F 功
E58AA0 加
E58AA1 务
E58AA3 劣
E58AA8 动
E58AA9 助
E58AAA 努
E58AAB 劫
E58AB1 励
E58AB2 劲
E58AB3 劳
E58ABF 势
E58B83 勃
E58B87 勇
E58B89 勉
E58B8B 勋
E58B92 勒
E58B98 勘
E58B9F 募
E58BA4 勤
E58BBA 勺
E58BBE 勾
E58BBF 勿
E58C80 匀
E58C85 包
E58C86 匆
E58C88 匈
E58C95 匕
E58C96 化
E58C97 北
E58C99 匙
E58C9D 匝
E58CA0 匠
E58CA1 匡
E58CA3 匣
E58CAA 匪
E58CB9 匹
E58CBA 区
E58CBB 医
E58CBE 匾
E58CBF 匿
E58D81 十
E58D83 千
E58D87 升
E58D88 午
E58D89 卉
E58D8A 半
E58D8E 华
E58D8F 协
E58D91 卑
E58D92 卒
E58D93 卓
E58D95 单
E58D96 卖
E58D97 南
E58D9A 博
E58D9C 卜
E58D9E 卞
E58DA0 占
E58DA1 卡
E58DA2 卢
E58DA4 卤
E58DA6 卦
E58DA7 卧
E58DAB 卫
E58DAF 卯
E58DB0 印
E58DB1 危
E58DB3 即
E58DB4 却
E58DB5 卵
E58DB7 卷
E58DB8 卸
E58DBF 卿
E58E82 厂
E58E84 厄
E58E85 厅
E58E86 历
E58E89 厉
E58E8B 压
E58E8C 厌
E58E95 厕
E58E98 厘
E58E9A 厚
E58E9F 原
E58EA2 厢
E58EA6 厦
E58EA8 厨
E58EA9 厩
E58EBB 去
E58EBF 县
